Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2012-12,Yellow,"474,005","6,326,604","32,257","13,346","12,806",29.7,14.6,22.4,8,12.5,49%,-
2012-11,Yellow,"459,114","6,094,937","31,701","13,324","12,551",28.3,14.2,21.3,7.9,12.5,50%,-
2012-10,Yellow,"468,377","6,346,508","32,104","13,328","12,555",29.2,14.6,22,8.1,12.8,50%,-
2012-09,Yellow,"484,783","6,512,203","31,698","13,322","12,826",28.9,14.9,22,8.2,12.8,50%,-
2012-08,Yellow,"463,841","5,357,572","30,777","13,318","12,785",29.8,14.4,22.8,8.1,12.3,48%,-
2012-07,Yellow,"463,784","5,292,247","31,174","13,320","12,773",29.7,14.4,22.7,8.1,12.2,48%,-
2012-06,Yellow,"503,139","5,831,841","31,561","13,332","12,940",29.1,15.1,22.6,8.3,12.8,48%,-
2012-05,Yellow,"502,097","5,838,542","31,723","13,325","12,887",30,15.1,23,8.3,12.9,47%,-
2012-04,Yellow,"515,848","5,861,876","31,579","13,319","12,864",29,15.1,22.2,8.3,12.2,47%,-
2012-03,Yellow,"520,764","5,860,835","31,401","13,320","12,927",30.1,15.1,23.2,8.3,12,48%,-
2012-02,Yellow,"516,585","5,655,691","30,803","13,317","12,896",28.1,14.9,21.8,8.3,11.6,48%,-
2012-01,Yellow,"482,811","5,220,456","30,944","13,317","12,588",29.3,14.5,22.3,8.2,11.3,47%,-
2011-12,Yellow,"481,410","5,493,999","31,196","13,323","12,830",29.9,14.7,22.9,8.2,12.7,43%,-
2011-11,Yellow,"484,122","5,572,296","31,022","13,319","12,858",29,14.7,22.3,8.2,12.9,44%,-
2011-10,Yellow,"506,532","5,790,312","31,341","13,322","12,857",29.9,15,23,8.3,12.7,45%,-
2011-09,Yellow,"487,470","5,687,581","30,917","13,313","12,797",28.8,14.9,22.2,8.3,13.1,44%,-
2011-08,Yellow,"427,740","4,851,734","30,144","13,295","12,216",28.5,13.9,21.9,8,12.1,44%,-
2011-07,Yellow,"475,475","5,350,809","30,683","13,270","12,612",29.5,14.6,22.6,8.3,12.1,43%,-
2011-06,Yellow,"503,152","5,743,238","31,094","13,285","12,760",28.8,15.1,22.4,8.3,12.6,43%,-
2011-05,Yellow,"501,708","5,730,613","31,259","13,291","12,745",29.7,14.9,22.8,8.3,12.5,42%,-
2011-04,Yellow,"490,577","5,456,034","31,022","13,302","12,178",27.5,15.1,21.3,8.4,12.1,42%,-
2011-03,Yellow,"518,212","5,717,207","30,960","13,288","12,852",30,15,23.1,8.4,11.9,43%,-
2011-02,Yellow,"507,167","5,474,959","30,359","13,253","12,678",26.8,14.9,20.8,8.4,11.8,43%,-
2011-01,Yellow,"434,297","4,661,317","29,682","12,798","11,624",28.2,14.4,21.4,8.2,11.7,41%,-
2010-12,Yellow,"445,727","4,985,892","29,414","12,491","11,612",28.8,14.7,21.9,8.2,12.6,38%,-
2010-11,Yellow,"463,701","5,165,797","29,348","12,347","11,876",28.9,14.8,21.9,8.2,12.2,39%,-
2010-10,Yellow,"457,996","5,122,617","29,128","12,268","11,271",28.5,15.3,21.9,8.4,12.3,39%,-
2010-09,Yellow,"517,972","5,827,246","28,989","12,221","11,765",28.9,14.7,21.7,8.3,12.3,38%,-
2010-08,Yellow,"404,115","4,490,108","28,574","12,206","11,224",28.5,14.4,21.5,8.1,11.8,37%,-
2010-07,Yellow,"472,752","5,216,891","30,562","13,307","12,457",29,14.5,22.3,8.2,-,37%,-
2010-06,Yellow,"494,137","5,503,949","30,812","13,305","12,671",28.6,14.9,22.2,8.3,-,36%,-
2010-05,Yellow,"499,374","5,561,218","30,950","13,309","12,729",29.6,14.8,22.7,8.3,-,35%,-
2010-04,Yellow,"504,798","5,502,545","30,827","13,326","12,856",28.9,14.8,22.3,8.3,-,35%,-
2010-03,Yellow,"415,567","3,011,750","28,709","12,183","10,382",26.4,15.1,20.4,8.3,11.5,35%,-
2010-02,Yellow,"397,969","3,392,416","28,255","12,171","10,045",23.1,14.6,17.6,8.3,11.1,35%,-
2010-01,Yellow,"479,376","4,968,817","30,659","13,305","12,727",29.7,14.3,22.5,8.2,-,32%,-
